phoneNumber,password,role,userId,driverId,token
09985607173,TestPass123,CUSTOMER,7c0c7a77-c795-412e-81da-0d27e722616e,,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI3YzBjN2E3Ny1jNzk1LTQxMmUtODFkYS0wZDI3ZTcyMjYxNmUiLCJyb2xlIjoiQ1VTVE9NRVIiLCJpYXQiOjE3NzUzNzY3NTgsImV4cCI6MTc3NTM4MDM1OH0.mHRci-uePygKFuNXDAVOPVddDsPgxbFKy3rKDR7EF9Q
0936704832,TestPass123,CUSTOMER,a18d62cc-d70b-468d-8d5f-5f9e1512d822,,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJhMThkNjJjYy1kNzBiLTQ2OGQtOGQ1Zi01ZjllMTUxMmQ4MjIiLCJyb2xlIjoiQ1VTVE9NRVIiLCJpYXQiOjE3NzUzNzY3NTgsImV4cCI6MTc3NTM4MDM1OH0._UcX6arbRqdkyXK-edARstWmmNPqrlYiyAKB_Llo5Pc
09774298810,TestPass123,CUSTOMER,9b28d71d-44b6-4c9c-bc03-5463d83cb445,,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI5YjI4ZDcxZC00NGI2LTRjOWMtYmMwMy01NDYzZDgzY2I0NDUiLCJyb2xlIjoiQ1VTVE9NRVIiLCJpYXQiOjE3NzUzNzY3NTksImV4cCI6MTc3NTM4MDM1OX0.M_tM9AE19-1NT25UexWrr38SQoQIyrmMnCfEusUFhNU
09473639096,TestPass123,CUSTOMER,b216cfa7-9ae8-4d9f-8265-3cc519f637b6,,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJiMjE2Y2ZhNy05YWU4LTRkOWYtODI2NS0zY2M1MTlmNjM3YjYiLCJyb2xlIjoiQ1VTVE9NRVIiLCJpYXQiOjE3NzUzNzY3NTksImV4cCI6MTc3NTM4MDM1OX0.w9UhNFQXFRhIsrK2M-Ri_tLnfPtE1fnN3yQLYtc8CHw
09478417845,TestPass123,CUSTOMER,b1b26291-22f8-4012-95d4-3e5794008ebc,,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJiMWIyNjI5MS0yMmY4LTQwMTItOTVkNC0zZTU3OTQwMDhlYmMiLCJyb2xlIjoiQ1VTVE9NRVIiLCJpYXQiOjE3NzUzNzY3NTksImV4cCI6MTc3NTM4MDM1OX0.TxRsJkIP-IIFjXyHu7TFaJ0RNGklSsPzCln4GYQw6OY
09921028603,TestPass123,CUSTOMER,53e48ec4-4546-4313-a0db-7d7ae7aef58d,,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI1M2U0OGVjNC00NTQ2LTQzMTMtYTBkYi03ZDdhZTdhZWY1OGQiLCJyb2xlIjoiQ1VTVE9NRVIiLCJpYXQiOjE3NzUzNzY3NjAsImV4cCI6MTc3NTM4MDM2MH0.NPABAYFrM6vNUFA6cDADIYP9m5qRGWGg8s3VLA5uW28
09298348291,TestPass123,CUSTOMER,d4419f81-cabb-4c00-a3fc-e025779088fb,,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJkNDQxOWY4MS1jYWJiLTRjMDAtYTNmYy1lMDI1Nzc5MDg4ZmIiLCJyb2xlIjoiQ1VTVE9NRVIiLCJpYXQiOjE3NzUzNzY3NjAsImV4cCI6MTc3NTM4MDM2MH0.eaZc8IMJaHgrzsQRRK70Y7vdZL3Uh_uuHo69RX6Oq7w
09874241765,TestPass123,CUSTOMER,36a710e7-6317-4fe1-8778-2d6e14620e13,,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIzNmE3MTBlNy02MzE3LTRmZTEtODc3OC0yZDZlMTQ2MjBlMTMiLCJyb2xlIjoiQ1VTVE9NRVIiLCJpYXQiOjE3NzUzNzY3NjEsImV4cCI6MTc3NTM4MDM2MX0.bC0VLruX1lLLxtNTTs5wDw1wOiilwetsBFk3WCQjrEw
09491030446,TestPass123,CUSTOMER,fc741d4b-825b-472b-9f7a-a46d2019f3a6,,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJmYzc0MWQ0Yi04MjViLTQ3MmItOWY3YS1hNDZkMjAxOWYzYTYiLCJyb2xlIjoiQ1VTVE9NRVIiLCJpYXQiOjE3NzUzNzY3NjEsImV4cCI6MTc3NTM4MDM2MX0.JrAXvcOS8Ja6GquPBpTbhQ48XBuf2bqsRJgLq7-rgh8
09859749137,TestPass123,CUSTOMER,7f1344e4-99cc-4cab-9056-2de0556daa48,,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI3ZjEzNDRlNC05OWNjLTRjYWItOTA1Ni0yZGUwNTU2ZGFhNDgiLCJyb2xlIjoiQ1VTVE9NRVIiLCJpYXQiOjE3NzUzNzY3NjIsImV4cCI6MTc3NTM4MDM2Mn0.2RXZmlW03SV_XvUEZS08KZk2SP_9niqFUl4mPbzTUUI
